SiteID,SiteName,Latitude,Longitude,DatasetID,DatasetType,AgeOldest,AgeYoungest,,
18,South Soefje Bog,29.6,-97.516944,3772,pollen,7900,120,,
27,Aliuk Pond,54.583333,-57.366667,27,pollen,8037,4182,,
196,Hell's Kitchen Lake,46.18693,-89.702685,3131,pollen,2040,2,,
197,Lake Mary,46.25,-89.9,3473,pollen,11604,231,,
209,Antelope Playa,43.5,-105.45,210,pollen,6626,6626,,
213,Arrington Marsh,39.495,-95.526667,214,pollen,22489,15976,,
229,Barchampe Lake,30.622222,-83.253889,232,pollen,7281,52,,
232,Barry Lake,44.3,-77.916667,235,pollen,10311,13,,
234,Basin Pond,44.47,-70.05,237,pollen,1605,15,,
246,Beef Pasture,37.473105,-108.160375,250,pollen,1203,1203,,
254,Berry Pond,42.5,-73.316667,260,pollen,666,15,,
257,Lake BI2,57.116667,-76.378333,3471,pollen,7298,1912,,
270,Bishops Falls,48.936111,-55.505556,276,pollen,4169,4169,,
273,Blacktail Pond,44.95611,-110.60071,279,pollen,4134,4134,,
275,BL-Tombigbee,33.563333,-88.474444,281,pollen,10702,679,,
276,Blackhoof Site,46.503333,-92.573333,282,pollen,11633,10147,,
281,Blue Mounds Creek,43.083333,-89.866667,287,pollen,11810,17,,
289,Bob Black Pond,34.323611,-84.868056,295,pollen,23578,13112,,
295,Boney Spring,38.111944,-93.366944,3067,pollen,23457,17000,,
298,Boriack Bog,30.36,-97.126111,304,pollen,15962,0,,
302,Boundary Pond,45.566667,-70.675,308,pollen,10916,0,,
311,Buckbean Fen,44.298611,-110.260556,318,pollen,10406,10406,,
312,Buck Lake,27.234444,-81.332222,319,pollen,8358,50,,
325,Camp 11 Lake,46.666667,-88.016667,332,pollen,11771,98,,
331,Carbuncle Pond,41.7,-71.783333,338,pollen,1085,0,,
339,Cascade Fen [Engineer Mountain Bog],37.647645,-107.808675,347,pollen,2293,1739,,
349,Chalco Lake,19.5,-99,357,pollen,18198,45,,
360,Chippewa Bog,43.123889,-83.241111,369,pollen,11608,589,,
364,Chatsworth Bog,40.675865,-88.324435,375,pollen,13260,800,,
479,Clear Lake,41.638535,-86.544595,490,pollen,15014,0,,
481,Clearwater Lake,50.873611,-107.933333,493,pollen,5480,4399,,
482,Clear Pond,43.748575,-74.016955,494,pollen,1892,8,,
485,Colo Marsh,42.02,-93.27,497,pollen,13500,0,,
489,Compass Pond,50.034167,-56.196389,501,pollen,8183,2625,,
491,Conroy Lake,46.283333,-67.883333,503,pollen,1970,1,,
494,Copley Lake,38.87213,-107.08309,506,pollen,10645,9274,,
504,Crane Lake,36.52986,-112.148895,517,pollen,12589,5873,,
512,Crowfoot Lake,51.65,-116.416667,525,pollen,14024,14024,,
518,Cub Lake,44.7,-84.958333,532,pollen,9366,33,,
520,Cub Lake,44.125,-111.183333,534,pollen,10797,10797,,
527,Cycloid Lake,55.266667,-105.266667,17292,pollen,266,266,,
529,Hershop Bog,29.583333,-97.608333,3132,pollen,10281,9309,,
531,Dark Lake,45.275,-91.475,546,pollen,22720,30,,
534,Davis Lake,46.591667,-122.25,550,pollen,18173,255,,
562,Tom Swamp,42.516667,-72.2125,3789,pollen,13207,8364,,
661,Demont Lake,43.48,-85,679,pollen,14181,17,,
666,Devils Lake,43.4178,-89.73205,684,pollen,14342,5,,
679,Dismal Swamp (91),36.583333,-76.45,699,pollen,9574,39,,
680,Disterhaft Farm Bog,43.916944,-89.166944,700,pollen,13840,699,,
680,Disterhaft Farm Bog,43.916944,-89.166944,3081,pollen,15591,612,,
728,Heart Lake,44.18236,-73.96963,3130,pollen,12000,0,,
745,Upper Wallface Pond,44.148295,-74.055675,3830,pollen,12561,200,,
751,Rockyhock Bay,36.166667,-76.683333,3582,pollen,22900,0,,
753,Duck Pond,41.9327,-70.0005,772,pollen,11729,0,,
754,Lac Dufresne,45.85,-70.35,773,pollen,11673,0,,
758,Eagle Lake,53.233333,-58.55,777,pollen,6098,1123,,
763,East Baltic Bog,46.408333,-62.15,782,pollen,8740,18,,
770,E Lake,50.69095,-99.65835,3125,pollen,12763,194,,
771,Eldora Fen,39.936667,-105.58,790,pollen,2220,820,,
775,Ely Lake,41.766667,-75.833333,795,pollen,2370,10,,
786,Ernst Brother's Pit,43.233056,-88.041944,806,pollen,13409,7646,,
788,East Sooke Fen,48.351944,-123.681667,808,pollen,12518,7137,,
804,Ferndale Bog,34.405556,-95.808333,828,pollen,2191,2191,,
807,First,41.135825,-75.027055,831,pollen,179,6,,
810,Beaverhouse Lake,54.742222,-101.681667,834,pollen,9831,514,,
819,Forge Pond,40.855833,-74.399167,845,pollen,215,5,,
821,Frains Lake,42.33,-83.63,847,pollen,18841,35,,
827,Frying Pan Lake,38.616667,-111.666667,853,pollen,4866,4866,,
834,Gause Bog,30.785,-96.721111,861,pollen,10188,5688,,
844,Giles,41.37709,-75.093185,873,pollen,399,8,,
845,Upper Gillies Lake,46.066667,-60.391667,874,pollen,8739,0,,
849,Jones Lake [Glenboro site],49.448,-99.28965,878,pollen,12218,0,,
937,Gold Lake Bog,43.65,-122.041667,966,pollen,8131,8131,,
942,Gould's Bog,42.533333,-72.183333,972,pollen,13280,27,,
944,Grand Rapids,53,-98.25,974,pollen,7296,931,,
948,Gravel Ridge,55.033333,-62.633333,978,pollen,5997,1591,,
952,Green Lake,44.883333,-85.116667,982,pollen,14107,415,,
953,Green Pond,41.005055,-74.49534,983,pollen,1451,8,,
957,Grey Islands,50.768889,-55.516667,987,pollen,11348,133,,
960,Guardipee Lake,48.55,-112.716667,991,pollen,5227,5227,,
968,Hack Pond,37.984722,-78.997222,999,pollen,17460,0,,
969,Hafichuk Site,50.320556,-105.883889,1000,pollen,13295,12209,,
973,Hansen Marsh,43.439585,-89.670815,1004,pollen,23536,1652,,
977,Harrie Lake,52.933333,-66.95,1008,pollen,7183,3698,,
981,Hawley Bog Pond-1,42.566667,-72.883333,1012,pollen,11959,752,,
1080,Houghton Bog,42.541667,-78.670278,1113,pollen,11892,17,,
1081,Howes Prairie Marsh,41.65,-87.072222,1114,pollen,3202,50,,
1100,Hudson Lake,41.67,-86.53,1133,pollen,14116,42,,
1114,Indian Prairie Fen,44.633333,-122.575,1148,pollen,8603,509,,
1117,Iola Bog,44.5,-89.116944,1151,pollen,11676,117,,
1125,Jackson Pond,37.43255,-85.72462,15081,pollen,23942,447,,
1245,Wilcox Lake,43.95,-79.43,17672,pollen,15627,91,,
1411,Kellners Lake,44.238056,-87.848056,1448,pollen,16664,101,,
1415,Kenosee Lake,49.816667,-102.3,1452,pollen,1181,25,,
1416,Marais de Keswick,44.195833,-79.512778,3454,pollen,3900,46,,
1483,Kirchner Marsh,44.77085,-93.12255,1520,pollen,13695,181,,
1485,Kirk Lake,48.233333,-121.616667,1523,pollen,10351,248,,
1510,Kotiranta Lake,46.714235,-92.587195,1548,pollen,12116,424,,
1530,Lacawac,41.382145,-75.29131,1568,pollen,720,8,,
1531,Lac Colin,46.716667,-70.3,1569,pollen,11100,0,,
1532,Lac Hamard,54.8,-67.5,1570,pollen,4114,4114,,
1533,Lac Louis,47.2875,-79.116667,1571,pollen,9310,0,,
1541,Lake 27,45.066667,-84.783333,1581,pollen,3263,100,,
1543,Lake A,53.2375,-105.725,1583,pollen,8561,1984,,
1546,Lake B,53.8,-106.079167,1586,pollen,1326,900,,
1547,Lake BN7,55.009167,-73.516667,1587,pollen,7400,1892,,
1548,Lake Carlson,44.79985,-93.15975,1588,pollen,4016,6,,
1549,Lake CH2,49.683333,-74.583333,1590,pollen,8268,0,,
1550,Lake EC1,56.283333,-75.1,1591,pollen,6161,2517,,
1551,Lake EC2,56.023333,-74.945,1592,pollen,6683,288,,
1553,Lake GB1,55.110833,-75.248889,1594,pollen,6375,168,,
1554,Lake GB2,56.1,-75.283333,1595,pollen,6333,411,,
1556,Lake LB1,57.916667,-75.616667,1598,pollen,6227,1067,,
1557,Lake LR1,58.583333,-75.25,1599,pollen,4080,4080,,
1558,Lake LR3,58.578333,-75.245,1601,pollen,3472,496,,
1559,Lake LT1,58.141667,-75.15,1603,pollen,3104,2354,,
1568,Langdale Pond,30.641667,-83.195,1614,pollen,6562,0,,
1576,Leading Tickles,49.471389,-55.473056,1622,pollen,9521,3154,,
1590,Little Bass Lake,47.286,-93.600465,1639,pollen,12315,13,,
1591,Little Lake,45.143555,-66.713325,1640,pollen,12643,0,,
1593,Little Pine Lake,45.283333,-91.483333,1643,pollen,20879,30,,
1594,LDDsite5772,44.8,-76.683056,1644,pollen,10813,10,,
1597,Lake Annie,27.20731,-81.350875,1648,pollen,19958,64,,
1598,Lake of the Clouds,48.142555,-91.11254,3483,pollen,960,0,,
1599,Lake Hope Simpson,52.45,-56.433333,1650,pollen,8492,3110,,
1605,Lofty Lake,54.725278,-112.480833,1656,pollen,683,683,,
1607,Lonesome Lake,44.14,-71.701111,1658,pollen,10529,439,,
1608,Long Lake (CA:Nunavut),62.633333,-101.233333,1659,pollen,694,694,,
1609,Long Lake,36.005556,-108.833333,1660,pollen,23588,14296,,
1613,Lost Lake,46.719435,-87.97207,1665,pollen,10036,0,,
1614,Lost Lake,47.63516,-110.48434,1666,pollen,9420,1564,,
1615,Lost P.,44.246944,-71.251389,1667,pollen,13472,20,,
1617,Lake Louise,30.725,-83.258333,3484,pollen,10641,0,,
1619,Loxahatchee National Wildlife Refuge Site 1 (EPA Site 7),26.481111,-80.415556,1671,pollen,1166,1166,,
1646,Maplehurst Lake,43.225,-80.659722,1701,pollen,13042,30,,
1652,Martin Pond,47.173975,-94.943965,1708,pollen,606,0,,
1656,Mashapaug Pond,41.783333,-71.433333,1712,pollen,4353,0,,
1667,McLaughlan Lake,45.363333,-76.554167,1723,pollen,10108,6000,,
1684,Mermaid Bog,46.25,-63.025,1740,pollen,9195,71,,
1703,Mirror Pool,46.525833,-97.241389,1759,pollen,9000,9000,,
1705,Molas Lake,37.74759,-107.682735,1761,pollen,14816,82,,
1706,Molas Pass Bog,37.737778,-107.6975,1762,pollen,3417,65,,
1707,Monhegan Island Meadow,43.766667,-69.3,1763,pollen,9316,228,,
1710,Montezuma Well,34.6492,-111.75225,1766,pollen,12838,30,,
1712,18 [Moraine Lake],52.266667,-58.05,1769,pollen,10938,0,,
1716,Moulton Pond,44.6275,-68.639167,1773,pollen,13904,0,,
1718,Mud Creek Site 1,25.219722,-80.604722,1775,pollen,1350,412,,
1719,Mud Lake,29.29993,-81.86601,1776,pollen,8354,0,,
1725,Muscotah Marsh,39.53,-95.513333,1782,pollen,17897,70,,
1725,Muscotah Marsh,39.53,-95.513333,3495,pollen,11214,10169,,
1732,Natural Lake,34.663333,-95.386111,1789,pollen,2588,150,,
1763,Northwest River Pond,53.516667,-60.166667,1821,pollen,1530,1530,,
1768,Old Field,37.116667,-89.833333,1826,pollen,9170,3480,,
1797,Pasacaco Pond,41.516667,-71.45,1859,pollen,1252,0,,
1803,Patschke Bog,30.366667,-97.116667,3500,pollen,15817,428,,
1804,Lake Patzcuaro,19.583333,-101.583333,1866,pollen,23799,64,,
1824,Perch Lake,51.651389,-100.898889,1888,pollen,5625,86,,
1833,Pilot Mound Site,42.16,-93.9,1897,pollen,13500,337,,
1835,Pinckneyville Creek Site 20,31.048333,-91.481944,1899,pollen,18790,18790,,
1840,Pink Lake,45.469444,-75.808333,1904,pollen,11760,18,,
1842,Pixie Lake,48.596389,-124.196667,1906,pollen,9908,9518,,
1903,Portage Bog,46.673611,-64.075,1968,pollen,9862,28,,
1905,Posy Lake,37.93746,-111.696035,1970,pollen,8221,5352,,
1906,Potato Lake,34.462222,-111.345278,3560,pollen,10936,1397,,
1906,Potato Lake,34.462222,-111.345278,3561,pollen,10478,1389,,
1909,Chesapeake Bay, Parker Creek,38.547778,-76.478611,1975,pollen,1183,50,
1915,Point Escuminac,47.075,-64.8,1981,pollen,9490,0,,
1916,Chesapeake Bay, Potomac River,38.026944,-76.22,1982,pollen,3094,326,
1918,Chesapeake Bay, Patuxent River (2-P-5),38.333333,-76.309722,1984,pollen,674,175,
1936,Quarles Pond,37.995833,-79.072222,2003,pollen,12647,2172,,
1938,Lake Quexil,16.916667,-89.816667,2005,pollen,23878,9897,,
1939,Quicksand Pond,34.326389,-84.865278,2006,pollen,17410,13613,,
1954,Ramsay Lake,45.6,-76.1,2023,pollen,10938,10,,
1959,Rayburn's Dome,32.466667,-93.166667,2030,pollen,20889,12798,,
1976,Redrock Lake,40.083333,-105.541667,2049,pollen,4000,840,,
1987,Chesapeake Bay, Rhode River,38.886389,-76.394722,2061,pollen,2714,63,
2194,Rogers Lake,41.3525,-72.29915,2270,pollen,15153,79,,
2212,Rose Lake,41.916667,-77.925,2289,pollen,14432,75,,
2214,Ross Pond,43.921389,-69.410278,2292,pollen,11882,102,,
2231,Ruby Lake,45.283333,-91.458333,2309,pollen,810,10,,
2235,Rutz Lake,44.87083,-93.858975,2314,pollen,13628,5,,
2241,Sagehen Marsh,37.473889,-108.503889,3608,pollen,1350,1350,,
2257,Sandy Cove Pond,54.4,-57.716667,2337,pollen,2225,2225,,
2258,San Joaquin Marsh,33.658333,-117.858333,2338,pollen,5912,5376,,
2269,Scott Lake,27.965415,-81.94163,2349,pollen,4527,49,,
2274,Seidel,44.45,-87.515556,3620,pollen,1055,22,,
2285,LD Lake,50.140278,-67.131944,2367,pollen,7106,0,,
2290,Sewell Lake,49.84135,-99.5763,2372,pollen,12473,0,,
2295,Shaws Bog,45.016667,-64.183333,2377,pollen,8967,0,,
2298,Sheley Pond,31.080833,-81.636944,2380,pollen,819,25,,
2302,Silver Lake,44.563333,-63.642778,2384,pollen,14544,0,,
2303,Silver Lake,40.354335,-83.812515,2385,pollen,13182,25,,
2304,Silver,41.25132,-74.986015,2386,pollen,787,0,,
2492,Slough Creek Pond,44.933333,-110.35,2576,pollen,4588,1253,,
2508,Spruce Pond,41.23687,-74.1833,2593,pollen,15210,119,,
2512,Stages Pond,39.668056,-82.9375,2598,pollen,3739,64,,
2516,Saint John Island Pond,53.95,-58.916667,2603,pollen,6906,6906,,
2527,Sutherland Pond,41.391389,-74.037778,2617,pollen,18025,44,,
