SiteID,SiteName,Latitude,Longitude,DatasetID,DatasetType,AgeOldest,AgeYoungest,,
2530,Swan Lake,41.72106,-102.499255,2620,pollen,3901,32,,
2531,Swartswood Lake,41.072335,-74.83698,2621,pollen,1549,10,,
2534,Tamarack Creek,44.15,-91.45,2624,pollen,5060,12,,
2538,Williams Street Bog,41.9,-71.066667,2628,pollen,15938,8867,,
2539,Taupawshas Bog,41.275,-70.058333,2629,pollen,10804,619,,
2540,Taylor Creek Site 2,25.205556,-80.643889,2630,pollen,161,5,,
2541,Taylor Lake,46.100556,-123.906667,2631,pollen,4712,14,,
2549,Petit Lac Terrien,46.58,-70.62,2639,pollen,12245,100,,
2570,Lake Tulane,27.58613,-81.503395,2663,pollen,23878,20,,
2576,Tunturi Lake,55.016667,-67.5,2669,pollen,3583,3583,,
2791,Unknown Pond,45.60459,-70.633335,2886,pollen,12415,0,,
2795,Upper South Branch Pond,46.090115,-68.893285,2892,pollen,9159,0,,
2814,Vestaburg Bog,43.416667,-84.883333,3831,pollen,20200,0,,
2846,Water Conservation Area 2A, Site 2 (Site F1),26.359722,-80.370556,2943,pollen,37,37,
2847,Water Conservation Area 2A, Site 3 (Site U3),26.2875,-80.411389,2944,pollen,1668,16,
2848,Water Conservation Area 3A, Site 4 (CA315 (AAS)),25.974,-80.6688,2945,pollen,3,3,
2849,Weber Lake,47.471667,-91.66,3837,pollen,15000,29,,
2850,Wells Mastodon Site,41.083333,-86.433333,2947,pollen,11891,1833,,
2853,Whiskey Lake,35.981944,-108.810833,2950,pollen,20192,20192,,
2936,Woodcliff Lake,41.02,-74.03,3034,pollen,96,2,,
2948,Yellow Dog Pond,46.754925,-87.94245,3047,pollen,10251,164,,
2951,Zuehl Farm Site,43.03,-93.87,3050,pollen,13000,1054,,
2954,Pretty Lake,41.583056,-85.25,3563,pollen,13930,0,,
2955,Head Lake,37.71109,-105.740635,3054,pollen,4461,58,,
2956,Canyon Lake,46.833495,-87.92128,15682,pollen,11767,139,,
2959,Basswood Road Lake/Splan Pond,45.25397,-67.33173,3058,pollen,13911,0,,
5192,Little Salt Spring,27.075,-82.233333,17285,pollen,1134,1134,,
6505,Northeast Shark River Slough,25.74642,-80.58386,10967,pollen,3190,22,,
6510,Hemlock Hollow,42.5375,-72.178,10972,pollen,11068,33,,
6519,Little Dyke Lake,45.3855,-63.55975,10981,pollen,13402,11403,,
7534,Deans Lake,44.77528,-93.44692,12007,pollen,862,39,,
7535,Lake Emily,44.30865,-93.92,12008,pollen,235,45,,
7543,Albert Lea Lake,43.65255,-93.284,15248,pollen,484,69,,
8551,Sharkey Lake,44.5924,-93.4132,13029,pollen,12034,61,,
8552,Kimble Pond,44.21895,-93.84015,13032,pollen,12254,1,,
8562,Hoya San Nicolás,20.3882,-101.256,13053,pollen,8714,650,,
8563,Hoya Rincon de Parangueo,20.43105,-101.249,13055,pollen,9411,325,,
8585,Horseshoe Lake,38.701798,-90.095027,21792,pollen,1825,19,,
8586,Glimmerglass Lake,46.21517,-89.32082,13097,pollen,11678,3757,,
9708,Linsley Pond,41.317115,-72.784335,14370,pollen,817,9,,
9814,Alpine Pond,37.63632,-112.82446,14517,pollen,2687,1641,,
9830,Lowder Creek Bog,37.67214,-112.792245,14549,pollen,8572,1099,,
9860,Norwood,44.709298,-93.926793,19316,pollen,15231,12483,,
9878,San Luis Lake,37.67773,-105.724665,14650,pollen,410,410,,
9944,South Bog,44.717555,-67.20294,14797,pollen,3200,26,,
9991,Prien Lake,30.19221,-93.27942,14928,pollen,4780,61,,
10002,Lake Arthur,30.05034,-92.7095,14953,pollen,3201,17,,
10002,Lake Arthur,30.05034,-92.7095,14955,pollen,8969,291,,
10017,Lake Louise,49.03265,-97.22993,14991,pollen,1364,8,,
10036,Lily Lake,47.911995,-89.0908,15035,pollen,10666,997,,
10074,Jones Lake,49.450245,-99.289145,15138,pollen,11212,10,,
10075,Mallard Pond,51.287795,-101.32475,15140,pollen,8267,60,,
10076,Makepeace Cedar Swamp,41.93619,-70.75736,15148,pollen,9824,4850,,
10076,Makepeace Cedar Swamp,41.93619,-70.75736,15146,pollen,4183,254,,
10103,Fort Bragg (core PAW2),35.173545,-79.089805,15191,pollen,6411,6411,,
10108,Crawford Bog,43.466528,-79.949167,15203,pollen,10286,123,,
10109,Chesapeake Bay (MD99-2207),38.030278,-76.214444,15205,pollen,23307,2795,,
10110,Chesapeake Bay (MD99-2208),38.537222,-76.486389,15207,pollen,8491,286,,
10111,Chesapeake Bay (MD99-2209),38.886111,-76.394444,15209,pollen,7896,853,,
10112,Chesapeake Bay (PTMC3-2),38.026667,-76.219722,15211,pollen,2177,221,,
10117,Caddo Creek (Core 1),32.043605,-95.505225,15221,pollen,2574,1058,,
10118,Caddo Creek (Core 3),32.045915,-95.50621,15223,pollen,6659,6659,,
10156,Long Lake,44.988845,-93.556405,15294,pollen,3572,29,,
10160,Emrick Lake,43.800155,-89.59428,15302,pollen,13101,23,,
10183,Skinny Lake,57.59498,-130.095975,15342,pollen,6106,596,,
10186,Balsam Lake,42.028785,-74.604205,15350,pollen,16727,120,,
10215,Cootes Paradise Marsh,43.2765,-79.9075,15415,pollen,2522,13,,
10218,Pyramid Lake,58.89215,-129.833915,15420,pollen,3323,315,,
10225,Lantz Site,44.979797,-63.48817,15752,pollen,13389,8983,,
10227,Bass Pond,50.71505,-57.374385,15462,pollen,7988,5635,,
10274,Chalmer's Bog (PL-78-37),50.64525,-114.5435,15564,pollen,6074,6074,,
10286,Albany River Bog,51.435,-83.6175,15597,pollen,5501,319,,
10299,Bear Lake,41.98435,-111.33339,15628,pollen,1085.80335,1085.80335,,
10306,Big Sandy Creek,32.554915,-95.16323,15641,pollen,3543,485,,
10326,Catahoula Lake (core CLR3),31.50844,-92.13152,15684,pollen,5833,271,,
10326,Catahoula Lake (core CLR3),31.50844,-92.13152,15696,pollen,4022,184,,
10347,Fire Lake,52.331985,-67.35709,15730,pollen,5833,4200,,
10348,Goose Bay Marsh,44.351135,-75.87042,15732,pollen,8185,52,,
10351,Harris Lake,49.66656,-109.90446,15738,pollen,8643,1990,,
10357,Lake Shelby,30.260065,-87.66485,15750,pollen,5629,343,,
10363,Lilypad Lake,36.98229,-118.99407,15766,pollen,11778,1327,,
10364,Lost Lake,45.824085,-123.5793,15768,pollen,7490,53,,
10366,Martens Slough (PL-77-20),52.0435,-106.381298,15772,pollen,12657,12657,,
10376,Roulston Lake (MS-78-15),46.89451,-67.4,15793,pollen,10637,5797,,
10388,Porcupine Mountain,52.50635,-101.62995,15819,pollen,5982,207,,
10405,Swan Lake,28.04246,-97.171305,15864,pollen,4040,4040,,
10410,Tulare Lake,36.052,-119.78,15876,pollen,23130,6703,,
10428,Kerr Lake,46.24378,-89.2758,15916,pollen,8160,863,,
10429,Crooked Lake,46.24525,-89.29409,15919,pollen,6172,222,,
10433,Green Pond,42.56705,-72.5108,40861,pollen,10334.5,753.415,,
10449,Stoneman Lake,34.778865,-111.517775,15967,pollen,513,513,,
10461,Pigeon Marsh,34.66359,-85.40132,16009,pollen,22508,9,,
10463,Torren's Bog,40.3563,-82.46925,16012,pollen,12587,108,,
10469,Lower Lake,38.590035,-123.30498,16046,pollen,173,173,,
10476,Cedar Lake,41.20728,-122.4971,16061,pollen,11942,3370,,
10477,Elkhorn Slough,36.82535,-121.76415,16063,pollen,5577,80,,
10478,CA-HUM-558 (Pilot Ridge),40.6617,-123.6691,16065,pollen,5002,11,,
10480,Preston Lake,38.850205,-123.015195,16069,pollen,1222,218,,
10485,Brier Island Bog MS-85-22,44.258194,-66.367778,16079,pollen,13885,11559,,
10496,Pye Lake,44.975933,-62.09061,16103,pollen,13331,112,,
10501,Los Penasquitos Lagoon,32.931121,-117.25287,16115,pollen,551,551,,
10506,Lima Bog,42.78895,-88.8432,16129,pollen,14202,40,,
10515,Binnewater Pond,41.40935,-74.551335,16175,pollen,16606,150,,
10516,Hyde Park,41.78575,-73.90115,16177,pollen,22959,16336,,
10517,Otisville,41.47025,-74.5244,16179,pollen,17451,4658,,
10518,Pawelski Farm,41.33395,-74.43065,16181,pollen,21258,942,,
10532,Sky Pond,40.277895,-105.66917,16224,pollen,13339,13339,,
10548,Dugas Bay Bog,46.301699,-79.38262,16264,pollen,4732,1194,,
10549,Glenora Bay,44.046389,-77.039167,16265,pollen,2824,5.222222,,
10550,Kilbride Swamp,43.464583,-79.915417,16267,pollen,22762,2030,,
10552,Preston Lake,43.986903,-79.37944,16271,pollen,4049,87,,
10553,Rife Swamp,43.467778,-79.986806,16273,pollen,21535,895,,
10556,Webbs Lake,44.167067,-78.1025,16278,pollen,14478,100,,
11557,Lovesick Lake,44.556806,-78.224797,17281,pollen,8700,100,,
11557,Lovesick Lake,44.556806,-78.224797,17283,pollen,10329,305,,
11557,Lovesick Lake,44.556806,-78.224797,17280,pollen,9833,641,,
11602,Beaver Lake,44.919595,-88.15694,17387,pollen,6117,28,,
11607,Piermont Marsh,41.027635,-73.908375,17398,pollen,237,32,,
11610,Lorraine Lake,46.144685,-86.48299,17404,pollen,11120,19,,
11611,Penegor Lake,46.61506,-88.86036,17406,pollen,9615,1,,
11620,Fox Lake,43.6774,-94.698115,19834,pollen,9212,2,,
11696,Benacadie 4,45.91664,-60.69363,17597,pollen,13894,13894,,
11706,Lismore Section,45.70486,-62.27347,17617,pollen,2097,2097,,
11736,Spirea Wetland,43.26191,-80.259242,17689,pollen,13379,1193,,
11805,Lost Swamp,42.82814,-72.4211,17880,pollen,13542,43,,
11925,NEL03,49.496405,-116.905,18108,pollen,645,645,,
11950,Mod Pond,34.787665,-120.586555,18159,pollen,9,9,,
13287,Madelia,44.083333,-94.416667,19812,pollen,16452,10315,,
13290,Killebrew Lake Fen,48.6051,-122.90145,19820,pollen,5936,1609,,
13583,Lake Grinnell,41.098185,-74.63963,20515,pollen,12893,70,,
13641,Pine Lake,52.089861,-113.4425,20643,pollen,672,672,,
14044,Grassy Lake,37.42641,-89.378865,21800,pollen,977,23.1,,
14222,Ochlockonee River,29.987725,-84.447055,22238,pollen,5830,1378,,
14291,Round Pond,42.173985,-72.70505,22376,pollen,12340,3702,,
16242,St. Shotts,46.647495,-53.600965,25147,pollen,2594,2594,,
16242,St. Shotts,46.647495,-53.600965,25268,pollen,1427,1427,,
16242,St. Shotts,46.647495,-53.600965,25192,pollen,3006,1231,,
16242,St. Shotts,46.647495,-53.600965,25190,pollen,8,8,,
16242,St. Shotts,46.647495,-53.600965,25186,pollen,4204,2189,,
16330,Waccamaw River, Turkey Creek Oligohaline Marsh,33.35003,-79.3447,25340,pollen,2190,789,
16332,Waccamaw River, Turkey Creek, Heavily Salt Impacted Swamp,33.34001,-79.34166,25349,pollen,4175,2132
16341,Waccamaw River, Butler Island, Moderately Salt Impacted,33.422823,-79.207996,25368,pollen,1223,99
16384,Lignumvitae Key,24.90197,-80.699085,25491,pollen,1026,1026,,
16466,Rocky Glades,25.613645,-80.742645,25749,pollen,5606,5606,,
16729,Lake 239,49.66332,-93.720205,26606,pollen,10171,343,,
16766,St. Jones River (SJB6),39.081105,-75.44383,26673,pollen,2853,41,,
16767,St. Jones River (SJC6),39.092015,-75.45265,26675,pollen,629,30,,
22558,Black Point Pond,41.349465,-70.66915,39181,pollen,639,24,,
22562,Deep Bottom Cove,41.368725,-70.64218,39190,pollen,326,14,,
22563,Muddy Cove Pond,41.375955,-70.66804,39192,pollen,1283,20,,
22581,Long Cove Pond,41.35961,-70.63147,39221,pollen,804,108,,
22651,Watcha Pond,41.358695,-70.612455,39348,pollen,1408,20,,
22655,Jobs Neck Pond,41.357865,-70.58414,39355,pollen,1182,10,,
23458,Jane's Cove,41.37585,-70.56858,40519,pollen,3837,45,,
23501,Mashacket Cove,41.369905,-70.55215,40591,pollen,872,2,,
23506,Slough Cove,41.358875,-70.539395,40600,pollen,792,28,,
23512,Lagoon Pond,41.428265,-70.60189,40620,pollen,1489,26,,
23515,Lake Tashmoo,41.458815,-70.62957,40625,pollen,407,40,,
23535,Cedar Tree Neck Bog,41.43051,-70.695725,40666,pollen,9340,48,,
23579,Benson Pond,42.377775,-73.09478,40791,pollen,12449.23,4.73,,
23583,Blood Pond,42.08019,-71.96105,40799,pollen,14197.63,12.548,,
23609,Deep-Taunton Pond,41.88215,-71.012,40844,pollen,11198.29,3576.819,,
23614,Doe Pond,42.17535,-72.7018,40854,pollen,11493.71,5981.888,,
23625,Guilder Pond,42.10864,-73.4372,40875,pollen,15150.46,152.423,,
23647,Knob Hill Pond,44.36035,-72.37295,40914,pollen,13924.35,8.234,,
23691,Little Royalston Pond,42.67595,-72.19285,40988,pollen,12985.86,43.834,,
23698,Sears Pond,40.886,-72.5783,41001,pollen,9690.208,7.866,,
23708,Umpawaug Pond,41.306,-73.4495,41016,pollen,8990.033,246.2335,,
23709,Uncle Seth's Pond,41.43305,-70.66464,41018,pollen,9577.005,154.753,,
23713,Ware Pond,42.48245,-70.88225,41025,pollen,5841.757,10.744,,
23714,West Side Pond,41.8545,-73.2566,41027,pollen,13397.17,199.381,,
23715,Glenmire,37.990261,-122.789614,41030,pollen,1291,1291,,
24149,US 2 Bog,46.10254,-85.518905,42379,pollen,1251,223,,
24183,Antler Pond,40.02309,-107.119375,42547,pollen,683,231,,
24237,Northwest Gander River,48.575619,-55.41568,42663,pollen,11718,11718,,
24245,Pool's Cove Pond,47.629055,-55.507565,42679,pollen,11635,8746,,
24267,Moose Pond,47.921715,-55.572665,42712,pollen,10679,10679,,
24269,Conne River,48.24774,-55.493585,42722,pollen,7149,5497,,
24382,Twin Lakes,41.32273,-123.669085,42879,pollen,7346,7346,,
26222,Bonnet Lake,40.66667,-82.13718,45816,pollen,13660,13660,,
26557,Anthony Lake,44.959675,-118.231425,46290,pollen,7184,1282,,
26634,Little Windy Hill Pond,41.433255,-106.33695,46611,pollen,15139,15139,,
26641,Lower Paintrock Lake,44.392785,-107.381835,46645,pollen,13898,12569,,
